Hi.	嗨。
We'll begin work soon.	我們立即開始施工。
We'll have to go back.	我们还得回去。
We're waiting for Tom.	我们在等汤姆。
We've got a situation.	我们有情况了。
We've had it analyzed.	我们已经将它做了分析。
Well, let's get going!	好吧，讓我們出發吧!
What did you find out?	你發現了甚麼？
What do we have to do?	我們必須做甚麼？
What's my room number?	我的房间号是多少？
What's wrong with you?	你到底怎么回事啊？
What's wrong with you?	你到底怎麼回事啊？
When did you get here?	你是什麼時候來的？
When is your bed time?	你什么时候睡觉？
When will they arrive?	他們何時抵達?
When will you be free?	你什麼時候有空?
Where are the showers?	浴室在哪里？
Where are your things?	你的東西在哪裡?
Where are your things?	你們的東西在哪裡？
Where are your things?	您的東西在哪裡？
Where are your things?	你的東西在哪裡？
Where can I find them?	在哪儿我能找着他们？
Where did you guys go?	你们这些家伙去哪儿了？
Where did you see her?	你在哪儿看到了她？
Where do you work now?	你现在在哪里工作？
Where is my newspaper?	我的报纸在哪里？
Where was the mistake?	錯在哪裡？
Who do you think I am?	你把我当什么啦？
Who told you the news?	誰告訴了你這個消息？
Who's your girlfriend?	你女朋友是谁？
Whose bicycle is this?	这辆自行车是谁的？
Whose is this bicycle?	这辆自行车是谁的？
Why are you asking me?	你為什麼問我？
Why can't we talk now?	为什么我们现在不能讲？
Why did you come here?	你為什麼來這裡？
Why did you marry Tom?	你為甚麼跟湯姆結婚？
Why don't you go home?	你为什么不回家呢？
Why don't you grow up?	你为什么长不大呢？
Why is change so hard?	為什麼改變那麼難？
Why should I hire Tom?	为什么我要雇佣Tom？
Will it rain tomorrow?	明天会下雨吗？
Will you stay at home?	你会待在家吗？
Would you like a tour?	你想去旅游嗎？
Write everything down.	把所有東西寫下來。
Write me sometime, OK?	有时间给我写信，好吗？
Write your goals down.	把你的目標寫下來。
You are a good person.	你是一個好人。
You are a good person.	您是一個好人。
You are her daughters.	你是她的女兒。
You are our only hope.	你是我们唯一的希望。
You deserve the prize.	你應該得到這個獎金。
You didn't protect me.	你没有保护我。
You don't have to eat.	你不必吃。
You must do your best.	你必须做到最好。
You must stop smoking.	你必须停止吸烟。
You need to get ready.	你需要做好准备。
You need to seek help.	你需要尋求協助。
You reap what you sow.	种瓜得瓜，种豆得豆。
You reap what you sow.	種什麼因得什麼果。
You seem very nervous.	你看起来很紧张。
You should make notes.	你应该做笔记。
You weren't here then.	你那時不在這裡。
You'll get used to it.	你会习惯的。
You'll never be alone.	你们永远不会一个人的。
You'll never be alone.	你永远不会一个人的。
You're a mean old man.	你这个吝啬的老头。
You're frightening me.	你在嚇我。
You're in big trouble.	你们有大麻烦了。
You're really useless.	你真沒用。
You've got to wake up.	你必須醒醒。
Zero comes before one.	零在一前面。
A good idea came to me.	我有一个好主意。
A rock fell from above.	一块岩石从上面落下。
A sponge absorbs water.	海绵吸水。
All you can do is wait.	所有你能做的就是等待。
Are they all like this?	他们都像这一样吗？
Are they both the same?	他们都是一样的吗？
Are you afraid of bugs?	你怕虫子吗？
Are you dating anybody?	你跟人約會過嗎？
Are you free right now?	你現在有空嗎？
Are you speaking to me?	你是在对我说吗？
Be careful not to fall.	小心别摔倒了。
Both you and I are men.	你和我都是男人。
Bring me the magazines.	把那本雜誌拿來給我。
Can I park my car here?	我能把我的车停在这儿吗？
Can anyone believe you?	誰會相信你？
Can we save the planet?	我们能拯救这颗星球吗？
Can we talk in private?	我们能私下谈谈吗？
Can you do bookkeeping?	你會記帳嗎?
Can you just please go?	能請你離開嗎？
Can you play the piano?	你會彈鋼琴嗎？
Can you please shut up?	你可以閉嘴嗎？
Can't we work this out?	我们做不成吗？
Come and dance with me.	过来和我跳舞啊!
Could I have the check?	把帳單給我好嗎？
Could you come up here?	你能来这里吗？？
Could you turn it down?	你可以轉小聲一點嗎?
Dad bought me a camera.	爸爸给我买了一个照相机。
Dead men tell no tales.	死人不會告密。
Did they buy the juice?	他們有買果汁嗎？
Did you hear the click?	你聽到了點擊聲嗎？
Did you see him go out?	你看到他出去了嗎？
Did you watch the game?	你看了比賽嗎？
Didn't you see the man?	你沒看見那個人嗎？
Didn't you see the man?	你們沒看見那個人嗎？
Didn't you see the man?	你没看到那个男人吗？
Do we have enough food?	我们有足够的食物吗？
Do you know the answer?	你知道答案嗎?
Do you know the reason?	你知道是什麼原因嗎？
Do you like black cats?	你喜歡黑色的貓嗎？
Do you study every day?	你每天都学习吗？
Do you study every day?	你們每天都讀書嗎？
Do you study every day?	您每天都讀書嗎？
Do you think I'm crazy?	你认为我疯了吗？
Do you want to be rich?	你想致富嗎？
Do you want to come in?	你想进来吗？
Does she speak English?	她會說英語嗎？
Don't ask me for money.	不要問我要錢。
Don't begin without me.	我不在就别开始。
Don't change your mind.	不要改變你的心意。
Don't let him bite you.	別讓他咬你。
Don't start without me.	我不在就别开始。
Don't tell anyone this.	不要告訴任何人這件事。
Don't throw trash here.	别在这儿扔垃圾。
Don't underestimate me.	别低估我。
Don't worry about this.	別為此擔心。
Don't write in red ink.	別用紅墨水寫。
Don't you have to work?	你不用工作吗
Everybody was confused.	每个人都很困惑
Everyone knows the law.	大家都知道這個法律。
Everything is changing.	一切都在变。
Fancy meeting you here!	想不到會在這裡遇見你！
Fasten your seat belts.	系上你們的安全带。
Foxes are wild animals.	狐狸是野生动物。
Get a grip on yourself!	冷静下来！
Give me a little money.	给我一点钱。
Give me some milk, too.	也給我一些牛奶。
Give the cat some meat.	給猫喂點肉。
Has something happened?	發生了什麼事嗎？
Have you seen this man?	您见过这个人吗？
He asked me a question.	他問了我一個問題。
He brought us sad news.	他给我们带来了令人难过的消息。
He did nothing but cry.	他只是哭。
He didn't study at all.	他根本就没有学习。
He died of lung cancer.	他死於肺癌。
He doesn't like coffee.	他不喜歡喝咖啡。
He has a good appetite.	他的胃口很好。
He has gone to Britain.	他已经去了英国。
He is afraid of snakes.	他害怕蛇。
He is fluent in French.	他说法语说得很流利。
He is good at football.	他擅長足球。
He knocked on the door.	他敲了門。
He must be about forty.	他应该40岁左右吧。
He often quotes Milton.	他常引用米爾頓。
He pretends to be deaf.	他装听不见。
He probably won't come.	他可能不会来了。
He returned from China.	他从中国回来了。
He runs as fast as you.	他跑得跟你一樣快。
He sang some old songs.	他唱了些老歌。
He saw her and blushed.	他看到她就臉紅了。
He sent a card to Mary.	他送了一張卡片給瑪麗。
He was in good spirits.	他精神很好。
He wore a dark sweater.	他穿了一件深色毛衣。
He's out taking a walk.	他出去散步。
He's stronger than you.	他比你強壯。
He's such a sweetheart.	他真是甜心。
Health is above wealth.	健康比财富重要。
Help us reach our goal.	幫助我們達成目標。
Her father is Japanese.	她父親是日本人。
Here are some pictures.	這裡有一些圖片。
Hey, look what I found.	嘿，看我找到了什么。
His car is really cool.	他的車真的很酷。
His father is Japanese.	他父親是日本人。
His plan was discarded.	他的计划被驳回了。
His words gave me hope.	他的話給了我希望。
His words surprised me.	他的話讓我吃驚。
Hope is not a strategy.	希望不是一种策略。
How long did that take?	那持续了多久了？
How long would it take?	要多长时间？
I always keep promises.	我總是信守承諾。
I am ashamed of myself.	我对我自己感到惭愧。
I am in touch with him.	我與他聯繫。
I am leaving next week.	我下個星期離開。
I am sixteen years old.	我16岁了。
I am tired of homework.	我厭倦了功課。
I am worried about him.	我担心他。
I asked her for a date.	我向她提出約會的請求。
I asked him to help me.	我請他幫我。
I ate lunch in a hurry.	我匆忙地吃了午飯。
I believe Tom is right.	我相信湯姆是對的。
I bought a good camera.	我買了一台不錯的照相機。
I can make that happen.	我不能让那事发生。
I can work with anyone.	我能跟任何人工作。
I can't answer you now.	我现在不能回答你。
I can't explain it now.	我现在不能解释。
I can't figure him out.	我不了解他。
I can't find my ticket.	我找不到我的票。
I can't hear very well.	我聽不太清楚。
I can't put up with it.	我无法忍受它了。
I dare say he is right.	我敢说他是对的。
I decided to buy a car.	我決定買一輛車。
I didn't get your name.	我沒聽清楚你的名字。
I discovered the truth.	我發現了真相。
I don't agree with him.	我不同意他。
I don't agree with you.	我不同意你的看法。
I don't drink or smoke.	我既不抽烟也不喝酒。
I don't have a partner.	我沒有夥伴。
I don't have much time.	我时间不多。
I don't know right now.	我现在不知道。
I don't know who he is.	我不知道他是谁。
I don't need your help.	我不需要你的幫助。
I don't sing very well.	我唱歌不太好。
I don't speak Japanese.	我不说日语。
I don't speak Japanese.	我不說日語。
I don't work like that.	我不像那樣工作。
I envied his new house.	我羨慕他的新房子。
I go to bed very early.	我很早就去睡覺。
I go to work every day.	我每天去上班。
I got on the wrong bus.	我上錯車了。
I had a wonderful time.	我度過了美好的時光。
I had a wonderful time.	我玩得很愉快。
I had my wallet stolen.	我的钱包被偷了。
I had to go to America.	我必須去美國。
I have a bad toothache.	我牙痛得厲害。
I have a dog and a cat.	我有一隻狗和一隻貓。
I have a pair of shoes.	我有一双鞋。
I have heard the story.	我听说过那个故事。
I have no energy today.	今天我沒有精神。
I heard the door close.	我听到门关了。
I helped him yesterday.	昨天我帮了他。
I hit him in the belly.	我打了他的肚子。
I hope Tom isn't angry.	我希望湯姆不生氣。
I just couldn't say no.	我就是不能说不。
I just heard something.	我只是听到了一些消息。
I knew he would accept.	我知道他会接受的。
I know I owe you money.	我知道我欠你錢。
I know how old you are.	我知道你多大了。
I know how we can help.	我知道我們要怎麼幫忙。
I know who you all are.	我知道你們都是誰。
I left it on the table.	我把它留在桌上了。
I like pizza very much.	我非常喜歡比薩。
I like summer the best.	我最喜歡夏天。
I like tennis and golf.	我喜歡打網球和高爾夫球。
I like this color, too.	我也喜歡這個顏色。
I like to travel alone.	我喜欢独自旅行。
I love pizza very much.	我非常喜欢匹萨。
I love the people here.	我爱这里的人们。
I meet him at the club.	我在俱樂部見到他。
I might make a mistake.	我可能犯了個錯。
I prefer milk to juice.	比起果汁，我比較喜歡牛奶。
I prefer tea to coffee.	我喜歡茶勝過咖啡。
I put it in the drawer.	我把它放在抽屜裡。
I saw Liz this morning.	今天早上我看到了利茲。
I saw him wash the car.	我看見他洗車。
I seem to have a fever.	我好像发烧了。
I sell clothing online.	我在網路上賣衣服。
I should clean my room.	我应该打扫我的房间。
I slept just two hours.	我只睡了两小时。
I slept only two hours.	我祇睡了兩小時。
I smell something here.	我在这里闻见了什么。
I studied for one hour.	我讀了一個小時的書。
I suppose you like him.	我猜想您喜欢他。
I think I'll go by bus.	我認為我要坐巴士去。
I think Tom's cheating.	我觉得汤姆有外遇。
I think about it often.	我经常想着它。
I think that it's true.	我認為這是真的。
I think you're jealous.	我觉得你妒忌了。
I understand perfectly.	我完全明白。
I want a quart of milk.	我要一夸脫的牛奶。
I want some fresh eggs.	我想要一些新鲜的鸡蛋。
I want something sweet.	我要一些甜的東西。
I want to ride a horse.	我想騎馬。
I was happy to see him.	我很高兴见到他。
I was not scolding you.	我不是在罵你。
I was totally confused.	我完全不懂了。
I was truly astonished.	我真是惊讶。
I went there yesterday.	我昨天去那儿了。
I went there yesterday.	昨天我去了那裡。
I will gladly help you.	我會很樂意幫助你。
I will not do it again.	下次我不做了。
I wish to go to Hawaii.	我希望去夏威夷。
I wish you'd slow down.	我希望你慢下來。
I worked all this week.	这周我一直在工作。
I would like mine rare.	我的牛排要生的。
I would like to see it.	我想看看它。
I'd like for you to go.	我希望你去。
I'd like to rent a car.	我想租一輛車。
I'd rather be with you.	我更愿意跟着你。
I'd rather go swimming.	我寧願去游泳。
I'll be right with you.	我馬上就来。
I'll call you up later.	我稍後會打電話給你。
I'll have another beer.	我会再喝一杯啤酒。
I'll leave that to you.	我會留給你。
I'll miss your cooking.	我會想念你的廚藝。
I'll study your report.	我會研究你的報告。
I'll tell Tom tomorrow.	我明天告訴湯姆。
I'll wait a day or two.	我會等一兩天。
I'm a big football fan.	我是足球的忠实粉丝。
I'm afraid to go alone.	我害怕一個人去。
I'm anxious to see you.	我渴望見到你。
I'm at the airport now.	我现在在机场。
I'm doubling my prices.	我正在把价格涨一倍。
I'm feeling blue today.	我今天的心情不好。
I'm glad you came over.	我很高兴你回来了。
I'm going to miss that.	我要失去它了。
I'm here to assist you.	我來協助你。
I'm listening to music.	我正在听音乐。
I'm looking for my pen.	我在找我的鋼筆。
I'm not as tall as you.	我沒有你高。
I'm not married to Tom.	我没跟汤姆结婚。
I'm thinking about you.	我正考慮到你。
I'm thinking about you.	我突然想到你。
I'm translating a book.	我在翻譯一本書。
I've always been smart.	我一直聪明。
I've caught a bad cold.	我得了重感冒。
I've got a few friends.	我有一些朋友。
I've got it right here.	我就是在这得到它的。
Iron is a useful metal.	铁是个有用的金属。
Iron is a useful metal.	铁是种有用的金属。
Is anyone absent today?	今天有人缺席嗎？
Is he still interested?	他還有興趣嗎？
Is it a recent picture?	那是一张近照吗？
Is it something I said?	是我說的嗎？
Is there any salt left?	还有多余的盐吗？
Is this seat available?	这个位子空着吗？
Isn't that good enough?	那不夠好嗎？
It doesn't surprise me.	这并不让我惊讶。
It is me that is wrong.	是我错了。
It looks like an apple.	看起来像个苹果。
It may not be possible.	不太可能。
It seems she hates you.	她好像很讨厌你。
It took me three years.	它花了我三年。
It'll take a long time.	我要花很长时间。
It's awfully hot today.	今天非常熱。
It's cold this morning.	今天早上冷。
It's fairly warm today.	今天相當暖和。
It's for you to decide.	這由你來決定。
It's time to eat lunch.	午餐時間到了。
It's you I've come for.	我是为你来的。
Keep the window closed.	让窗子关着。
Let bygones be bygones.	既往不咎。
Let me try another one.	让我试试别的。
Let them learn from us.	让他们向我们学习。
Let's ask if it's true.	让我们来问问这是不是真的。
Let's go ahead and eat.	咱们去吃饭吧。
Let's go to the picnic.	讓我們去野餐。
Let's sit on the grass.	我们坐在草地上吧。
Let's start right away.	我们立刻开始吧。
Let's take a break now.	现在，让我们休息一会儿吧。
Lie on your right side.	躺在你右邊。
May I borrow your bike?	我能借一下您的自行车吗？
May I go to the toilet?	我可以去廁所嗎？
May I introduce myself?	我可以自我介紹嗎?
May I open my eyes now?	我現在能睜眼嗎？
May I put it down here?	我可以把它放在这儿吗？
Mind your own business!	管好你自己的事吧。
Mom, can I go swimming?	媽，我可以去游泳嗎?
My TV has quit working.	我的電視已經壞了。
My cats will love this.	我的猫会爱上这个。
My cholesterol is high.	我的胆固醇很高。
My father went fishing.	我父親去釣魚了。
My father will kill me.	我爸会杀了我的。
My fountain pen is new.	我的钢笔是新的。
My scalp is very itchy.	我的頭皮非常癢。
My son doesn't obey me.	我儿子不听我话。
No one came except Tom.	除了汤姆没有人来。
No one can control him.	沒人管束或開導他。
No one man could do it.	沒有一個人能做到這一點。
Nobody knows the truth.	没有人知道真相。
Not all aliens are bad.	不是所有外星人都坏。
OK, you two, follow me.	好，你們兩個，跟著我。
Open your eyes, please.	请睁开眼睛。
Please add up the bill.	請確認帳單。
Please call the police.	叫警察。
Please drive carefully.	請小心駕駛。
Please give me a break.	饶了我吧！
Please kill the lights.	请关灯。
Please open the bottle.	請打開瓶子。
Please spell your name.	请拼一下您的名字。
Please turn off the TV.	请关闭电视机。
Please write back soon.	请快点回信。
Promises aren't enough.	承諾是不夠的。
Put on your good shoes.	穿上你的好鞋。
Quit talking, will you?	不要说话，好不好？
Selling cars is my job.	賣車是我的工作。
Shall I close the door?	我應該把門關上嗎?
She always believes me.	她一直都相信我。
She always wears black.	她總是穿著黑色的衣服。
She asked him for help.	她向他求助。
She bit into the apple.	她咬了一口蘋果。
She came into the room.	她进了房间。
She caught colds often.	她常常感冒。
She doesn't like sushi.	她不喜歡壽司。
She gave him a sweater.	她给他一件毛衣。
She got out of the car.	她下了車。
She had a little money.	她有一点钱。
She handed him the key.	她遞給了他鑰匙。
She has a little bread.	她有点儿面包。
She is fond of animals.	她很喜欢动物。
She looks very elegant.	她看上去十分优雅。
She married a musician.	她和一位音乐家结了婚。
She married a rich man.	她嫁给了一个有钱人。
She really wants to go.	她特别想去。
She resembles her aunt.	她长得像她姑姑。
She smiled at her baby.	她對著她的孩子微笑。
She was born last year.	她去年出生。
She woke up on her own.	她自己起床的。
She wore a white dress.	她穿了一件白色的洋裝。
She's a glamorous girl.	她是个迷人的女孩子。
She's already sleeping.	她已经睡下了。
She's correct for sure.	她的確是正確的。
She's younger than him.	她比他年轻。
Should I go to college?	我該上大學嗎？
Sing us a song, please.	請為我們唱首歌吧。
So what if that's true?	那如果那是真的呢？
Someone is calling you.	有人在叫你。
Something must be done!	必須採取一些行動了！
Sport knows no borders.	体育无国界。
Stay out of my kitchen.	别进我的厨房。
Take whatever you like.	你喜歡什麼就拿吧。
Tell me more about Tom.	告诉我汤姆的情况。
Tell me which you want.	告訴我你想要哪個。
Tell them we're coming.	告诉他们我们要来了。
Thank you all the same.	同样感谢你。
Thanks for your advice.	谢谢你的建议。
That could be too late.	那可能太晚了。
That means a lot to me.	那对我来说意义重大。
That was really boring.	那真是無聊。
That was really unfair.	那真不公平。
That won't ever happen.	那从不会发生。
That would be relevant.	那会有关系。
That would be unlikely.	那不太可能。
That's a good question.	那是一個很好的問題。
That's my final answer.	这是我的最终回答。
That's my sole concern.	这是我唯一关心的。
That's not Tom's fault.	那不是湯姆的錯。
That's weird, isn't it?	那真奇怪，不是么？
The bell rings at noon.	正午時分鐘聲響起。
The boy had a red face.	這個男孩有一張紅潤的臉。
The bus will take time.	乘公交车费时。
The girl has no mother.	这个女孩没有母亲。
The knife is not sharp.	這刀不鋒利。
The law is quite clear.	法律很清楚。
The man robbed her bag.	這名男子搶走了她的包包。
The next one's for you.	下一个给你。
The pain is unbearable.	疼痛令人难以忍受。
The pen is on the desk.	笔在桌上。
The rain is letting up.	雨变小了。
The rear gate was open.	后门曾开着。
The snow was knee deep.	積雪深及膝蓋。
The train passed by us.	列车从我们身边经过。
The vase was shattered.	花瓶被打碎了。
The wind is cold today.	今天刮冷风。
The woman glared at us.	女人瞪了我們。
There were no mistakes.	没有错误。
There were two bridges.	那里有两座桥。
There's no way to know.	沒有辦法知道。
These are called shoes.	這些叫鞋子。
These are the new ones.	這些是一些新的。
These glasses are cool.	這些眼鏡真酷。
They are having a chat.	他們正在聊天。
They closed their eyes.	他们闭上眼睛。
They say love is blind.	人们说爱情是盲目的。
They settled in Canada.	他们在加拿大安家落户。
They sometimes help us.	他們有時幫我們。
They talked about love.	他們談論了愛情。
They were very excited.	他们非常兴奋。
They're digging a hole.	他們正在挖一個洞。
This apple is very red.	这只苹果非常红。
This decision is final.	这是最终决定。
This is Tom's umbrella.	這是湯姆的雨傘。
This is a great moment.	这是一个伟大的时刻。
This is a wooden table.	这是张木桌。
This is not a sentence.	这不是一句话。
This is not a sentence.	這不是一個句子。
This is old news to me.	這對我來說是舊聞了。
This is the real world.	這是真實的世界。
This is very good soil.	这是非常好的土壤。
This isn't a good idea.	這不是好主意。
This juice tastes sour.	這個果汁喝起來酸酸的。
This makes me so angry.	這讓我非常憤怒。
This one's still alive.	這一個還活著。
This rose is beautiful.	這玫瑰花很美麗。
This water tastes good.	這水很好喝。
This wine tastes great.	這葡萄酒非常好喝。
This writer is Russian.	这个作家是俄罗斯人。
Tom asked Mary to help.	湯姆向瑪麗求助。
Tom asked me about you.	汤姆向我问起你。
Tom can't ride a horse.	湯姆不能騎馬。
Tom doesn't have a dad.	汤姆没有父亲。
Tom has Mary's address.	汤姆有玛丽的地址。
Tom has a big appetite.	汤姆胃口很大。
Tom has a twin brother.	Tom有個雙胞胎兄弟。
Tom has visited Boston.	汤姆去过波士顿。
Tom heard Mary's voice.	汤姆听见了玛丽的声音。
Tom is a Boston native.	湯姆是波士頓本地人。
Tom is good at cooking.	湯姆擅長烹飪。
Tom is in the hospital.	Tom在醫院。
Tom is obese, isn't he?	汤姆很胖，是吧？
Tom is older than I am.	湯姆年紀比我大。
Tom is on his way here.	湯姆正在來這里。
Tom is out of his mind.	汤姆走神了。
Tom is out of his mind.	湯姆失去理智了。
Tom is quite drunk now.	汤姆现在醉醺醺的了。
Tom is quite sarcastic.	汤姆真会挖苦人。
Tom is really handsome.	汤姆真帅。
Tom is speaking French.	汤姆在说法语。
Tom is still in Boston.	汤姆还在波士顿。
Tom is taller than you.	汤姆比你高。
Tom is too old to work.	湯姆老得不能工作了。
Tom is very much alone.	汤姆非常孤单。
Tom isn't happy at all.	汤姆根本不高兴。
Tom lied to the others.	汤姆向其他人撒谎了。
Tom listened carefully.	湯姆仔細聽。
Tom looked for his pen.	湯姆找他的鋼筆。
Tom picked up a pencil.	汤姆拿起铅笔。
Tom says he has a plan.	汤姆说他有个计划。
Tom started the engine.	湯姆發動了引擎。
Tom studies at Harvard.	汤姆在哈佛学习。
Tom tried to kill Mary.	汤姆试着杀死玛丽。
Tom wanted to see Mary.	湯姆想見瑪麗。
Tom was a little drunk.	汤姆有点醉。
Tom was not apologetic.	Tom并不觉得抱歉。
Tom went down the hill.	汤姆走下山坡。
Tom won't be here long.	湯姆不會在這裡久留。
Tom wrote us postcards.	Tom寫明信片給我們。
Tomorrow is my day off.	明天是我的休息日。
Tulips will bloom soon.	鬱金香很快將盛開。
Wait for me downstairs.	在楼下等我
Was it all an illusion?	那全是幻觉吗？
Was that what Tom said?	那就是汤姆说的吗？
Watch my camera for me.	幫我看著我的相機。
We can't just fire Tom.	我们不能仅仅就这样炒了汤姆
We enjoy reading books.	我们喜欢阅读书籍。
We gave the car a push.	我們推了車。
We go to school by bus.	我們乘公共汽車去上學。
We got lost in the fog.	我们在雾中迷了路。
We have a problem here.	我们现在有了麻烦。
We have no electricity.	我們沒有電。
We have to do our best.	我们应该做到最好。
We have to do our best.	我们要尽力而为。
We have to have a plan.	我們必須有計畫。
We help each other out.	我們互相幫忙。
We helped them as well.	我們也幫助他們。
We like to play soccer.	我們喜歡踢足球。
We met her by accident.	我们偶然碰到了她。
We must get up at dawn.	黎明時我們必須起床。
We need to make a plan.	我们需要做计划。
We often hear you sing.	我们经常听到你唱歌。
We should be safe here.	我们在这里应该是安全的。
We sometimes meet them.	我們有時會見到他們。
We still have a chance.	我們還有次機會。
We'll be ready in time.	我们会及时准备好。
We're going to eat now.	我們現在就要吃飯。
We're intimate friends.	我們是親密的朋友。
We're out of stock now.	我们现在缺乏库存。
We're still doing well.	我们依然做得很好。
We're still vulnerable.	我们还是脆弱不堪。
We've got lots of time.	我們有很多時間。
We've got what we need.	我們得到了我們想要的。
Well, have you decided?	那麼, 你決定好了嗎?
Were you able to do it?	你有能力去做这个吗？
What a wonderful night!	多美妙的夜晚啊!
What are those numbers?	那些数字是什么？
What are you doing now?	你現在在做什麼？
What disease do I have?	我得了什麼病？
What do you plan to do?	你打算怎麼辦？
What do you want to be?	您想成为什么？
What do you want to be?	你想成为什么？
What do you want to do?	你想做什麼？
What does your aunt do?	你姑姑是做什麼的？
What illness do I have?	我得了什麼病？
What is my room number?	我的房间号是多少？
What made her so angry?	什麼事讓她這麼生氣？
What made you so angry?	什麼讓你這麼生氣？
What should I look for?	我应该寻找什么？
What time does it open?	什么时候开门？
What time was she born?	她幾點出生的？
What'll the results be?	結果會是甚麼樣的？
What's in front of you?	在你面前是什麼東西？
What's your occupation?	您的職業是什麼？
When do you need it by?	您何時需要它？
When do you want to go?	你什麼時候要去?
When does Tom get here?	湯姆是甚麼時候來到這裡的？
Where can I get a taxi?	我在哪裡可以搭到計程車？
Where did it come from?	它从哪里来？
Where did you get this?	这是你哪里拿的？
Where do you have pain?	你哪裡痛？
Where is the cafeteria?	自助餐厅在哪里？
Where is the city hall?	市政府在哪裡?
Where's my apple juice?	我的蘋果汁在哪?
Which way is the beach?	去海滩走哪条路？
Which way should we go?	我们应该往哪个方向走？
Who are you looking at?	你在看谁？
Who are you voting for?	你投给谁？
Who did you give it to?	你把它給誰了?
Who teaches you French?	谁教你们法语？
Who told you the story?	誰告訴你這個故事？
Who's your favorite DJ?	谁是你最喜爱的 DJ ?
Why are you busy today?	你今天为什么忙？
Why do you need change?	你為什麼需要零錢?
Why should I thank Tom?	我為甚麼該感謝湯姆？
Why were you so scared?	你为什么这么害怕？
Will it be much longer?	還要很久嗎？
Will you drive me home?	你會開車送我回家嗎？
Will you wait a minute?	麻煩您等一下。
Will you wait a moment?	麻煩您稍待一下。
Words express thoughts.	語言表達思想。
Words express thoughts.	語詞表達思想。
Would you like a drink?	你想喝點什麼嗎？
Would you like to come?	你愿意来吗？
Would you like to wait?	你愿意等吗 ?
You are my best friend.	你是我最好的朋友。
You can take today off.	你今天可以休假一天。
You can take your time.	你可以慢慢来。
You come back soon, OK?	你早點回來，行嗎？
You could have done it.	你本來可以做的。
You deserve to succeed.	你的成功是应得的。
You don't have a fever.	你没发烧。
You don't have to hide.	你不用藏著。
You guys have to hurry.	你们这些家伙得快点。
You have a point there.	喔！你提到一個重點了。
You have to be patient.	你必須有耐心。
You like it, don't you?	你喜歡它，不是嗎？
You look just like Tom.	你看起来就像湯姆。
You look like a monkey.	你看着像猴。
You made a wise choice.	你做了一個明智的選擇。
You may use my new car.	你可以使用我的新車。
You must go to bed now.	你現在必須上床睡覺。
You never get my jokes.	你从来不明白我的玩笑。
You ought to thank him.	你应该感谢他。
You should wear a coat.	你應該穿一件大衣。
You shouldn't eat here.	你不该在这里吃饭。
You sing like an angel.	你唱歌像天使。
You speak good English.	你的英語說得很好。
You took the wrong key.	你拿错钥匙了。
You were at my wedding.	你出席了我的婚礼。
You were eavesdropping.	你在偷听。
You were late for work.	你上班迟到了。
You'd better go by bus.	你最好坐公共汽車去。
You'd better not speak.	你最好不要說。
You'd better start now.	你最好現在就開始。
You'll need their help.	你会需要他们的帮助。
You're a celebrity now.	你现在是名人了。
You're cuter than Mary.	你比玛丽可爱。
You're making progress.	你在進步。
You're not fast enough.	你不够快。
You're quite forgetful.	你很健忘。
Your cake is delicious.	您的蛋糕很美味。
Your cake is delicious.	你的蛋糕很美味。
Your plan sounds great.	你的計劃聽起來很不錯。
All my homework is done.	我做完了所有的回家作業。
Are there any questions?	有什么问题吗？
Are they treated fairly?	他们受到公正对待了吗？
Are those two going out?	那兩個要出去嗎？
Are you coming tomorrow?	你明天要來嗎？
Are you free on Tuesday?	周二你有空吗？
Are you having problems?	你有问题吗？
Are you here to see Tom?	你是來見湯姆的嗎？
Are you referring to me?	你在说我吗？
Are you sure about this?	你确定吗？
Aren't you free tonight?	你今天晚上沒空嗎？
Ask him what to do next.	问他下一步该做什么。
Ask me something easier.	问我简单些的。
Bear his advice in mind.	牢記他的建議。
Beauty is but skin deep.	美貌只是表面性的东西。
Being rich isn't enough.	有钱还不够。
Breathing was difficult.	呼吸困難。
Can I drive the tractor?	我能開拖拉機嗎？
Can I eat my lunch here?	我能在這裡吃午飯嗎？
Can I get my money back?	我是不是能收回我的钱？
Can you eat raw oysters?	你能生吃牡蠣嗎？
Can you get it repaired?	你能不能修理它？
Can you make it on time?	你能准时做好吗？
Can you play the guitar?	你会弹吉他吗？
Can you really not swim?	你真的不會游泳嗎？
Can you swim underwater?	你能潜水吗？
Can't you speak English?	你不會說英語嗎?
Children like chocolate.	孩子们喜欢巧克力。
Children love Halloween.	孩子们喜欢圣诞节。
Choose the one you like.	選一個你喜歡的。
Choose the one you like.	选喜欢的。
Classes begin next week.	课程下周开始。
Could I borrow a pencil?	我能借支铅笔吗？
Could you do me a favor?	請你幫我一個忙好嗎？
Could you shut the door?	你能把門關上嗎?
Days are getting longer.	白天越來越長了。
Did you come here alone?	你是一个人来这儿的吗？
Did you grade the tests?	你給測驗評分了嗎?
Did you push the button?	你按了按鈕嗎?
Do they love each other?	他們彼此相愛嗎?
Do you have enough food?	你有足够的食物吗？
Do you know what I mean?	你知道我的意思嗎？
Do you like Indian food?	你喜歡印度菜嗎？
Do you really mean that?	你是认真的吗？
Do you think I can help?	你认为我能帮忙吗？
Do you think I'm joking?	你觉得我是在开玩笑吗？
Do you think I'm stupid?	你認為我傻嗎？
Do you want to die here?	你想死在這裡嗎？
